id;title;title_ko;description;description_ko;image;jhi_link;outstanding
1;Health Steel Pines;Mobility methodical Concrete;open-source parsing;Andorra;Infrastructure Papua;COM overriding Views;false
2;plum;Money;microchip;compelling Plastic;Crest;actuating British;true
3;Borders connect Solutions;Manager Program;Berkshire Pataca firewall;Graphic Fresh;Table;black Interactions Persistent;true
4;conglomeration homogeneous Chips;Practical Emirates;Operative;bus Savings reinvent;Lead;synthesize Texas Refined;true
5;collaborative;parse solid;program Enhanced Intuitive;JBOD copy;European;Frozen User-centric;true
6;Data;alliance Open-architected;International integrated Architect;Bike Clothing;Virginia Keyboard;Metal Towels;true
7;Metal;connect;reboot;card Optimized;holistic;maroon Public-key;false
8;SCSI XML;wireless invoice;24/7;yellow bluetooth;Soft generate auxiliary;Table;false
9;back-end;hard Berkshire Sports;Mouse Generic open-source;neural;GB Plastic;Licensed calculating;true
10;Enterprise-wide Delaware;Berkshire Oregon;magenta;integrated alarm Down-sized;deposit;calculate convergence Incredible;true
