id;jhi_type;category;category_ko;tilte;tilte_ko;content;content_ko
1;Road Berkshire algorithm;Handcrafted moratorium tan;technologies Trafficway;(Slovak Loan dynamic;red;Cedi utilize;Adaptive Bedfordshire interactive
2;users Rustic;Gorgeous object-oriented evolve;Health revolutionary Nevada;client-driven hack;Colorado Frozen Clothing;Pennsylvania Electronics Fresh;Surinam
3;clear-thinking Cambridgeshire Electronics;Human Mountains;Customer Universal;Plastic;Kids Profound;Account back-end customized;Credit
4;repurpose;Table;portals conglomeration;Keyboard;Walks Connecticut;ROI IB;Uganda Rustic
5;reintermediate fuchsia;Automotive index;Platinum primary input;Dollar;USB;Rustic overriding invoice;web driver
6;input Loan Street;Fresh Re-contextualized info-mediaries;payment;Intelligent Sports;Rial transmitter;Fresh;Market
7;white;Cheese;Jersey GB;Account Paraguay;copying Paradigm Tasty;ADP systems;calculating
8;Health Vietnam Health;programming;Generic Dam IB;Dollar Gloves;open;Rubber e-services;leading-edge Gardens budgetary
9;SSL Shoes;engage calculate index;Kip Port Indiana;infrastructure application;Towels;capacitor Wyoming Outdoors;transform
10;Cambridgeshire ROI synthesize;Small Games deposit;models Bouvet bypassing;deposit Outdoors open-source;defect;silver;Investment Games compressing
